num_ciclo	spostamento	AnalogInput0	error_status
1	-214400	875	0
1	-215200	878	0
1	-216000	881	0
1	-216800	883	0
1	-217600	887	0
1	-218400	891	0
1	-219200	894	0
1	-220000	897	0
1	-220800	901	0
1	-221600	904	0
1	-222400	907	0
1	-223200	910	0
1	-224000	913	0
1	-224800	917	0
1	-225600	920	0
1	-226400	923	0
1	-227200	926	0
1	-228000	929	0
1	-228800	932	0
1	-229600	936	0
1	-230400	939	0
