Condizione di riposo: 10 Stabile
Da 1 giro fino a 9 giri progredendo di un giro alla volta (1 giro = -25600)
MaxVel 240
Acceleration 10000
Deceleration 10000

100 misurazioni per giro

num_ciclo	spostamento	AnalogInput0	error_status
58	-51200	217	0
59	-51200	217	0
60	-51200	217	0
61	-51200	218	0
62	-51200	217	0
63	-51200	217	0
64	-51200	218	0
65	-51200	217	0
66	-51200	217	0
67	-51200	217	0
68	-51200	217	0
69	-51200	217	0
70	-51200	218	0
71	-51200	218	0
72	-51200	217	0
73	-51200	217	0
74	-51200	217	0
75	-51200	217	0
76	-51200	217	0
77	-51200	217	0
78	-51200	217	0
79	-51200	217	0
80	-51200	217	0
81	-51200	217	0
82	-51200	217	0
83	-51200	217	0
84	-51200	218	0
85	-51200	218	0
86	-51200	217	0
87	-51200	217	0
88	-51200	217	0
89	-51200	217	0
90	-51200	217	0
91	-51200	217	0
92	-51200	217	0
93	-51200	217	0
94	-51200	218	0
95	-51200	217	0
96	-51200	217	0
97	-51200	217	0
98	-51200	218	0
99	-51200	217	0
100	-51200	218	0
1	-76800	320	0
2	-76800	320	0
3	-76800	320	0
4	-76800	320	0
5	-76800	320	0
6	-76800	320	0
7	-76800	320	0
8	-76800	320	0
9	-76800	321	0
10	-76800	321	0
11	-76800	320	0
12	-76800	321	0
13	-76800	320	0
14	-76800	321	0
15	-76800	320	0
16	-76800	321	0
17	-76800	320	0
18	-76800	321	0
19	-76800	320	0
20	-76800	320	0
21	-76800	320	0
22	-76800	320	0
23	-76800	320	0
24	-76800	320	0
25	-76800	320	0
26	-76800	320	0
27	-76800	321	0
28	-76800	320	0
29	-76800	321	0
30	-76800	320	0
31	-76800	320	0
32	-76800	320	0
33	-76800	320	0
34	-76800	321	0
35	-76800	320	0
36	-76800	321	0
37	-76800	321	0
38	-76800	321	0
39	-76800	320	0
40	-76800	321	0
41	-76800	320	0
42	-76800	321	0
43	-76800	321	0
44	-76800	320	0
45	-76800	321	0
46	-76800	320	0
47	-76800	320	0
48	-76800	320	0
49	-76800	321	0
50	-76800	321	0
51	-76800	320	0
52	-76800	321	0
53	-76800	320	0
54	-76800	321	0
55	-76800	320	0
56	-76800	320	0
57	-76800	320	0
58	-76800	321	0
59	-76800	321	0
60	-76800	320	0
61	-76800	320	0
62	-76800	320	0
63	-76800	320	0
64	-76800	320	0
65	-76800	320	0
66	-76800	321	0
67	-76800	321	0
68	-76800	320	0
69	-76800	321	0
70	-76800	320	0
71	-76800	320	0
72	-76800	321	0
73	-76800	320	0
74	-76800	321	0
75	-76800	320	0
76	-76800	321	0
77	-76800	321	0
78	-76800	320	0
79	-76800	320	0
80	-76800	320	0
